DATAFLOW,LAST UPDATE,freq,geo,unit,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Estonia,Grams per kilometre,2018,160.5,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Estonia,Grams per kilometre,2019,157.7,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Estonia,Grams per kilometre,2020,147.6,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Estonia,Grams per kilometre,2021,142.6,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Estonia,Grams per kilometre,2022,141.6,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Estonia,Grams per kilometre,2023,134.6,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Greece,Grams per kilometre,2000,180.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Greece,Grams per kilometre,2001,166.5,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Greece,Grams per kilometre,2002,167.8,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Greece,Grams per kilometre,2003,168.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Greece,Grams per kilometre,2004,168.8,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Greece,Grams per kilometre,2005,167.4,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Greece,Grams per kilometre,2006,166.5,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Greece,Grams per kilometre,2007,165.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Greece,Grams per kilometre,2008,160.8,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Greece,Grams per kilometre,2009,157.4,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Greece,Grams per kilometre,2010,143.7,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Greece,Grams per kilometre,2011,132.7,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Greece,Grams per kilometre,2012,121.1,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Greece,Grams per kilometre,2013,111.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Greece,Grams per kilometre,2014,108.2,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Greece,Grams per kilometre,2015,106.4,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Greece,Grams per kilometre,2016,106.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Greece,Grams per kilometre,2017,131.9,be,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Greece,Grams per kilometre,2018,135,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Greece,Grams per kilometre,2019,140.1,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Greece,Grams per kilometre,2020,130.5,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Greece,Grams per kilometre,2021,119.8,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Greece,Grams per kilometre,2022,118,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Greece,Grams per kilometre,2023,112.7,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Spain,Grams per kilometre,2000,159.2,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Spain,Grams per kilometre,2001,156.8,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Spain,Grams per kilometre,2002,156.4,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Spain,Grams per kilometre,2003,157,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Spain,Grams per kilometre,2004,155.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Spain,Grams per kilometre,2005,155.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Spain,Grams per kilometre,2006,155.6,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Spain,Grams per kilometre,2007,153.2,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Spain,Grams per kilometre,2008,148.2,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Spain,Grams per kilometre,2009,142.2,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Spain,Grams per kilometre,2010,137.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Spain,Grams per kilometre,2011,133.8,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Spain,Grams per kilometre,2012,128.7,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Spain,Grams per kilometre,2013,122.4,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Spain,Grams per kilometre,2014,118.6,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Spain,Grams per kilometre,2015,115.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Spain,Grams per kilometre,2016,114.4,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Spain,Grams per kilometre,2017,139.4,be,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Spain,Grams per kilometre,2018,143.1,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Spain,Grams per kilometre,2019,147,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Spain,Grams per kilometre,2020,135.5,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Spain,Grams per kilometre,2021,126,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Spain,Grams per kilometre,2022,121.5,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Spain,Grams per kilometre,2023,117.5,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,European Union - 27 countries (from 2020),Grams per kilometre,2007,157.5,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,European Union - 27 countries (from 2020),Grams per kilometre,2008,152.8,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,European Union - 27 countries (from 2020),Grams per kilometre,2009,145,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,European Union - 27 countries (from 2020),Grams per kilometre,2010,139.6,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,European Union - 27 countries (from 2020),Grams per kilometre,2011,135.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,European Union - 27 countries (from 2020),Grams per kilometre,2012,132,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,European Union - 27 countries (from 2020),Grams per kilometre,2013,126.4,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,European Union - 27 countries (from 2020),Grams per kilometre,2014,123.1,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,European Union - 27 countries (from 2020),Grams per kilometre,2015,119.1,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,European Union - 27 countries (from 2020),Grams per kilometre,2016,117.6,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,European Union - 27 countries (from 2020),Grams per kilometre,2017,143,be,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,European Union - 27 countries (from 2020),Grams per kilometre,2018,145.6,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,European Union - 27 countries (from 2020),Grams per kilometre,2019,148,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,European Union - 27 countries (from 2020),Grams per kilometre,2020,130.8,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,European Union - 27 countries (from 2020),Grams per kilometre,2021,115.7,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,European Union - 27 countries (from 2020),Grams per kilometre,2022,109.8,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,European Union - 27 countries (from 2020),Grams per kilometre,2023,107.6,,
