DATAFLOW,LAST UPDATE,freq,aquaenv,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Hungary,2020,,m,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Hungary,2021,,m,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Hungary,2022,,m,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Hungary,2023,,m,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Ireland,2011,84.1,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Ireland,2012,66.1,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Ireland,2013,84.9,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Ireland,2014,74.8,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Ireland,2015,72.7,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Ireland,2016,71.8,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Ireland,2017,70.7,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Ireland,2018,69.9,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Ireland,2019,71.7,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Ireland,2020,74.1,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Ireland,2021,77.0,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Ireland,2022,78.4,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Ireland,2023,76.3,,
