DATAFLOW,LAST UPDATE,freq,geo,unit,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Croatia,Grams per kilometre,2023,127.1,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Hungary,Grams per kilometre,2014,133,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Hungary,Grams per kilometre,2015,129.6,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Hungary,Grams per kilometre,2016,125.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Hungary,Grams per kilometre,2017,152.2,be,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Hungary,Grams per kilometre,2018,155,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Hungary,Grams per kilometre,2019,157.2,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Hungary,Grams per kilometre,2020,141.4,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Hungary,Grams per kilometre,2021,133.1,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Hungary,Grams per kilometre,2022,131.2,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Hungary,Grams per kilometre,2023,127.4,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Ireland,Grams per kilometre,2014,117.1,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Ireland,Grams per kilometre,2015,114.1,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Ireland,Grams per kilometre,2016,112,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Ireland,Grams per kilometre,2017,135.3,be,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Ireland,Grams per kilometre,2018,137.3,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Ireland,Grams per kilometre,2019,137.9,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Ireland,Grams per kilometre,2020,130,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Ireland,Grams per kilometre,2021,112.6,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Ireland,Grams per kilometre,2022,100.7,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Ireland,Grams per kilometre,2023,93.7,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Iceland,Grams per kilometre,2018,141.6,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Iceland,Grams per kilometre,2019,138.5,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Iceland,Grams per kilometre,2020,96.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Iceland,Grams per kilometre,2021,80.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Iceland,Grams per kilometre,2022,76.1,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Iceland,Grams per kilometre,2023,61.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Italy,Grams per kilometre,2014,118.1,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Italy,Grams per kilometre,2015,115.2,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Italy,Grams per kilometre,2016,113.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Italy,Grams per kilometre,2017,137.3,be,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Italy,Grams per kilometre,2018,140.5,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Italy,Grams per kilometre,2019,144.7,e,
