DATAFLOW,LAST UPDATE,freq,areaprot,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Malta,2016,4.6,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Malta,2019,5.5,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Malta,2021,5.5,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Netherlands,2012,20.1,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Netherlands,2016,25.6,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Netherlands,2019,25.6,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Netherlands,2021,26.1,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Poland,2012,21.8,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Poland,2016,21.8,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Poland,2019,21.8,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Poland,2021,21.9,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Portugal,2012,0.8,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Portugal,2016,3.8,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Portugal,2019,4.5,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Portugal,2021,4.5,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Romania,2012,6.4,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Romania,2016,21.4,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Romania,2019,21.5,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Romania,2021,21.4,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Sweden,2012,6.7,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Sweden,2016,15.3,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Sweden,2019,15.3,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Sweden,2021,16,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Slovenia,2012,28.6,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Slovenia,2016,50.6,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Slovenia,2019,5.2,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Slovenia,2021,5,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Slovakia,2012,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Slovakia,2016,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Slovakia,2019,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Slovakia,2021,,m,
