DATAFLOW,LAST UPDATE,freq,indic_env,material,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Spain,2016,464216.7,i,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Spain,2017,467254.9,i,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Spain,2018,515746.4,i,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Spain,2019,482628.8,i,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Spain,2020,471491.2,i,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Spain,2021,477513.6,i,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Spain,2022,453119.8,i,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Spain,2023,385835.575,i,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,European Union - 27 countries (from 2020),2000,6991168.875,i,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,European Union - 27 countries (from 2020),2001,7202980.718,i,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,European Union - 27 countries (from 2020),2002,7293937.685,i,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,European Union - 27 countries (from 2020),2003,7354595.123,i,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,European Union - 27 countries (from 2020),2004,7529408.795,i,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,European Union - 27 countries (from 2020),2005,7554785.716,i,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,European Union - 27 countries (from 2020),2006,7901962.219,i,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,European Union - 27 countries (from 2020),2007,8064105.992,i,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,European Union - 27 countries (from 2020),2008,8229196.951,i,
