DATAFLOW,LAST UPDATE,freq,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Bosnia and Herzegovina,2019,45.482,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Bosnia and Herzegovina,2020,49.308,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Bosnia and Herzegovina,2021,46.318,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Belgium,2004,1.714,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Belgium,2005,2.386,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Belgium,2006,3.13,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Belgium,2007,3.662,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Belgium,2008,4.625,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Belgium,2009,6.176,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Belgium,2010,7.332,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Belgium,2011,8.989,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Belgium,2012,11.338,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Belgium,2013,12.547,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Belgium,2014,13.414,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Belgium,2015,15.573,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Belgium,2016,15.834,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Belgium,2017,17.214,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Belgium,2018,18.886,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Belgium,2019,20.817,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Belgium,2020,25.122,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Belgium,2021,26.018,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Belgium,2022,29.098,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Belgium,2023,31.37,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Bulgaria,2004,8.358,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Bulgaria,2005,8.666,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Bulgaria,2006,8.73,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Bulgaria,2007,8.899,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Bulgaria,2008,9.544,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Bulgaria,2009,10.906,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Bulgaria,2010,12.358,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Bulgaria,2011,12.621,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Bulgaria,2012,15.816,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Bulgaria,2013,18.682,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Bulgaria,2014,18.686,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Bulgaria,2015,18.975,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Bulgaria,2016,19.147,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Bulgaria,2017,19.022,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Bulgaria,2018,22.355,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Bulgaria,2019,23.509,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Bulgaria,2020,23.586,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Bulgaria,2021,21.413,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Bulgaria,2022,20.080,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Bulgaria,2023,29.426,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Cyprus,2004,0.019,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Cyprus,2005,0.024,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Cyprus,2006,0.034,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Cyprus,2007,0.074,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Cyprus,2008,0.285,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Cyprus,2009,0.589,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Cyprus,2010,1.39,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Cyprus,2011,3.445,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Cyprus,2012,4.927,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Cyprus,2013,6.654,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Cyprus,2014,7.399,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Cyprus,2015,8.445,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Cyprus,2016,8.587,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Cyprus,2017,8.911,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Cyprus,2018,9.357,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Cyprus,2019,9.756,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Cyprus,2020,12.041,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Cyprus,2021,14.840,,
