statinfo,unit,stk_flow,country,year,value
Thirty-year average,"Current prices, euro per capita",Losses,European Union - 27 countries (from 2020),2022,42.16
Thirty-year average,"Current prices, euro per capita",Losses,European Union - 27 countries (from 2020),2023,44.84
Thirty-year average,"Current prices, euro per capita",Losses,Finland,2009,11.99
Thirty-year average,"Current prices, euro per capita",Losses,Finland,2010,12.87
Thirty-year average,"Current prices, euro per capita",Losses,Finland,2011,13.77
Thirty-year average,"Current prices, euro per capita",Losses,Finland,2012,13.75
Thirty-year average,"Current prices, euro per capita",Losses,Finland,2013,13.69
Thirty-year average,"Current prices, euro per capita",Losses,Finland,2014,11.4
Thirty-year average,"Current prices, euro per capita",Losses,Finland,2015,11.36
Thirty-year average,"Current prices, euro per capita",Losses,Finland,2016,11.33
Thirty-year average,"Current prices, euro per capita",Losses,Finland,2017,3.2
Thirty-year average,"Current prices, euro per capita",Losses,Finland,2018,3.2
Thirty-year average,"Current prices, euro per capita",Losses,Finland,2019,3.19
Thirty-year average,"Current prices, euro per capita",Losses,Finland,2020,3.73
Thirty-year average,"Current prices, euro per capita",Losses,Finland,2021,4.02
Thirty-year average,"Current prices, euro per capita",Losses,Finland,2022,4.01
Thirty-year average,"Current prices, euro per capita",Losses,Finland,2023,3.99
Thirty-year average,"Current prices, euro per capita",Losses,France,2009,38.87
Thirty-year average,"Current prices, euro per capita",Losses,France,2010,41.32
Thirty-year average,"Current prices, euro per capita",Losses,France,2011,42.02
Thirty-year average,"Current prices, euro per capita",Losses,France,2012,42.42
Thirty-year average,"Current prices, euro per capita",Losses,France,2013,41.45
Thirty-year average,"Current prices, euro per capita",Losses,France,2014,42.57
Thirty-year average,"Current prices, euro per capita",Losses,France,2015,42.62
Thirty-year average,"Current prices, euro per capita",Losses,France,2016,43.51
Thirty-year average,"Current prices, euro per capita",Losses,France,2017,45.17
Thirty-year average,"Current prices, euro per capita",Losses,France,2018,46.3
Thirty-year average,"Current prices, euro per capita",Losses,France,2019,47.68
Thirty-year average,"Current prices, euro per capita",Losses,France,2020,47.17
Thirty-year average,"Current prices, euro per capita",Losses,France,2021,49.3
Thirty-year average,"Current prices, euro per capita",Losses,France,2022,52.73
Thirty-year average,"Current prices, euro per capita",Losses,France,2023,52.7
Thirty-year average,"Current prices, euro per capita",Losses,Croatia,2009,10.77
Thirty-year average,"Current prices, euro per capita",Losses,Croatia,2010,15.26
Thirty-year average,"Current prices, euro per capita",Losses,Croatia,2011,15.31
Thirty-year average,"Current prices, euro per capita",Losses,Croatia,2012,16.72
Thirty-year average,"Current prices, euro per capita",Losses,Croatia,2013,16.87
Thirty-year average,"Current prices, euro per capita",Losses,Croatia,2014,22.95
Thirty-year average,"Current prices, euro per capita",Losses,Croatia,2015,24.76
Thirty-year average,"Current prices, euro per capita",Losses,Croatia,2016,25.07
Thirty-year average,"Current prices, euro per capita",Losses,Croatia,2017,26.82
Thirty-year average,"Current prices, euro per capita",Losses,Croatia,2018,29.98
