aquaenv,country,year,value
Coastal water excellent - %,Denmark,2011,65.0
Coastal water excellent - %,Denmark,2012,71.1
Coastal water excellent - %,Denmark,2013,75.2
Coastal water excellent - %,Denmark,2014,77.3
Coastal water excellent - %,Denmark,2015,84.5
Coastal water excellent - %,Denmark,2016,85.2
Coastal water excellent - %,Denmark,2017,85.9
Coastal water excellent - %,Denmark,2018,86.8
Coastal water excellent - %,Denmark,2019,87.6
Coastal water excellent - %,Denmark,2020,90.4
Coastal water excellent - %,Denmark,2021,91.4
Coastal water excellent - %,Denmark,2022,93.9
Coastal water excellent - %,Denmark,2023,93.9
Coastal water excellent - %,Estonia,2011,48.2
Coastal water excellent - %,Estonia,2012,40.7
Coastal water excellent - %,Estonia,2013,42.3
Coastal water excellent - %,Estonia,2014,37.0
Coastal water excellent - %,Estonia,2015,40.7
Coastal water excellent - %,Estonia,2016,51.9
Coastal water excellent - %,Estonia,2017,51.9
Coastal water excellent - %,Estonia,2018,55.6
Coastal water excellent - %,Estonia,2019,51.9
Coastal water excellent - %,Estonia,2020,48.3
Coastal water excellent - %,Estonia,2021,53.3
Coastal water excellent - %,Estonia,2022,43.3
Coastal water excellent - %,Estonia,2023,46.7
Coastal water excellent - %,Greece,2011,94.7
Coastal water excellent - %,Greece,2012,93.4
Coastal water excellent - %,Greece,2013,93.4
Coastal water excellent - %,Greece,2014,97.1
Coastal water excellent - %,Greece,2015,97.2
Coastal water excellent - %,Greece,2016,97.1
Coastal water excellent - %,Greece,2017,96.0
Coastal water excellent - %,Greece,2018,97.1
Coastal water excellent - %,Greece,2019,95.8
Coastal water excellent - %,Greece,2020,97.1
Coastal water excellent - %,Greece,2021,95.8
Coastal water excellent - %,Greece,2022,96.6
Coastal water excellent - %,Greece,2023,95.8
Coastal water excellent - %,Spain,2011,84.7
Coastal water excellent - %,Spain,2012,86.8
Coastal water excellent - %,Spain,2013,87.2
Coastal water excellent - %,Spain,2014,85.6
Coastal water excellent - %,Spain,2015,87.1
Coastal water excellent - %,Spain,2016,88.9
Coastal water excellent - %,Spain,2017,90.5
Coastal water excellent - %,Spain,2018,92.2
Coastal water excellent - %,Spain,2019,93.2
Coastal water excellent - %,Spain,2020,93.5
Coastal water excellent - %,Spain,2021,92.1
Coastal water excellent - %,Spain,2022,92.8
Coastal water excellent - %,Spain,2023,92.2
Coastal water excellent - %,European Union - 27 countries (from 2020),2011,81.3
Coastal water excellent - %,European Union - 27 countries (from 2020),2012,83.0
Coastal water excellent - %,European Union - 27 countries (from 2020),2013,85.4
Coastal water excellent - %,European Union - 27 countries (from 2020),2014,85.9
Coastal water excellent - %,European Union - 27 countries (from 2020),2015,87.0
Coastal water excellent - %,European Union - 27 countries (from 2020),2016,88.0
Coastal water excellent - %,European Union - 27 countries (from 2020),2017,87.4
Coastal water excellent - %,European Union - 27 countries (from 2020),2018,88.1
Coastal water excellent - %,European Union - 27 countries (from 2020),2019,88.4
Coastal water excellent - %,European Union - 27 countries (from 2020),2020,88.4
Coastal water excellent - %,European Union - 27 countries (from 2020),2021,88.0
Coastal water excellent - %,European Union - 27 countries (from 2020),2022,88.9
Coastal water excellent - %,European Union - 27 countries (from 2020),2023,88.8
Coastal water excellent - %,Finland,2011,70.2
