watpol,unit,country,year,value
Phosphate in rivers,Milligrams per litre,Italy,2012,0.039
Phosphate in rivers,Milligrams per litre,Italy,2013,0.049
Phosphate in rivers,Milligrams per litre,Italy,2014,0.06
Phosphate in rivers,Milligrams per litre,Italy,2015,0.071
Phosphate in rivers,Milligrams per litre,Italy,2016,0.05
Phosphate in rivers,Milligrams per litre,Italy,2017,0.043
Phosphate in rivers,Milligrams per litre,Italy,2018,0.042
Phosphate in rivers,Milligrams per litre,Italy,2019,0.044
Phosphate in rivers,Milligrams per litre,Italy,2020,0.054
Phosphate in rivers,Milligrams per litre,Italy,2021,0.055
Phosphate in rivers,Milligrams per litre,Italy,2022,0.072
Phosphate in rivers,Milligrams per litre,Lithuania,2000,0.118
Phosphate in rivers,Milligrams per litre,Lithuania,2001,0.094
Phosphate in rivers,Milligrams per litre,Lithuania,2002,0.141
Phosphate in rivers,Milligrams per litre,Lithuania,2003,0.093
Phosphate in rivers,Milligrams per litre,Lithuania,2004,0.07
Phosphate in rivers,Milligrams per litre,Lithuania,2005,0.129
Phosphate in rivers,Milligrams per litre,Lithuania,2006,0.155
Phosphate in rivers,Milligrams per litre,Lithuania,2007,0.051
Phosphate in rivers,Milligrams per litre,Lithuania,2008,0.082
Phosphate in rivers,Milligrams per litre,Lithuania,2009,0.086
Phosphate in rivers,Milligrams per litre,Lithuania,2010,0.055
Phosphate in rivers,Milligrams per litre,Lithuania,2011,0.053
Phosphate in rivers,Milligrams per litre,Lithuania,2012,0.044
Phosphate in rivers,Milligrams per litre,Lithuania,2013,0.067
Phosphate in rivers,Milligrams per litre,Lithuania,2014,0.051
Phosphate in rivers,Milligrams per litre,Lithuania,2015,0.08
Phosphate in rivers,Milligrams per litre,Lithuania,2016,0.064
Phosphate in rivers,Milligrams per litre,Lithuania,2017,0.086
Phosphate in rivers,Milligrams per litre,Lithuania,2018,0.121
Phosphate in rivers,Milligrams per litre,Lithuania,2019,0.113
Phosphate in rivers,Milligrams per litre,Lithuania,2020,0.278
